id,query,category,urgency,manuscript_id,resolution,tags,created_date,resolution_time_hours
CASE_0001,"I submitted my manuscript MS-2024-1234 three weeks ago and haven't heard back. Can you update me on its status?",status_inquiry,medium,MS-2024-1234,"Your manuscript MS-2024-1234 is currently under review. It was assigned to reviewers on October 20, 2024. The typical review period is 4-6 weeks. You should receive feedback by November 15, 2024.","['initial_review', 'timeline_query']",2024-08-12,2.0
CASE_0002,"Hello, I would like to know the current status of manuscript MS-2024-2156. It's been 2 months since submission.",status_inquiry,high,MS-2024-2156,"Thank you for your inquiry. MS-2024-2156 has completed peer review. The Associate Editor is currently preparing the decision letter. You can expect to receive the decision within 3-5 business days.","['post_review', 'decision_pending']",2024-09-05,1.5
CASE_0003,"Can you tell me what's happening with MS-2024-3401? I submitted it on September 1st.",status_inquiry,medium,MS-2024-3401,"MS-2024-3401 is currently with the Editor-in-Chief for final review. Initial peer reviews were positive with minor revisions recommended. The editorial decision will be communicated by November 12, 2024.","['editor_review', 'positive_feedback']",2024-07-20,3.0
CASE_0004,"What's the current status of MS-2024-4501? I need to update my CV for a job application.",status_inquiry,high,MS-2024-4501,"MS-2024-4501 is in the final production stage. Your manuscript has been accepted and is scheduled for publication in the December 2024 issue. You will receive the page proofs within 5 business days.","['accepted', 'production_stage']",2024-10-01,1.5
CASE_0005,"I submitted MS-2024-5602 on October 1st. Can you please check the status?",status_inquiry,low,MS-2024-5602,"MS-2024-5602 is currently in the initial screening phase with the Editorial Office. The manuscript is being checked for formatting and journal scope compliance. You should receive an update within 7 business days.","['initial_screening', 'editorial_office']",2024-09-15,2.5
CASE_0006,"My manuscript MS-2024-6701 has been in review for 8 weeks. This is longer than the promised timeline. What's causing the delay?",review_delay,high,MS-2024-6701,"We apologize for the delay with MS-2024-6701. One reviewer had to withdraw due to unforeseen circumstances. We have assigned a replacement reviewer and expedited the process. You should receive reviews by November 18, 2024.","['reviewer_replacement', 'expedited']",2024-08-25,4.0
CASE_0007,"It's been 10 weeks since I submitted MS-2024-7802. The journal website says typical review time is 4-6 weeks. Should I be concerned?",review_delay,high,MS-2024-7802,"Thank you for your patience. MS-2024-7802 experienced a delay because the topic required specialized reviewers. We have now received both reviews and the Associate Editor is preparing the decision. You will hear from us within 48 hours.","['specialized_review', 'decision_imminent']",2024-07-10,2.0
CASE_0008,"MS-2024-8903 has been under review for 12 weeks now. This is unacceptable. I want an update immediately.",review_delay,high,MS-2024-8903,"We sincerely apologize for the extended delay with MS-2024-8903. We have escalated this to the Editor-in-Chief. One review has been received, and we are actively following up with the second reviewer. We will provide you with a definitive timeline within 24 hours.","['escalated', 'editor_followup']",2024-06-15,3.5
CASE_0009,"The review for MS-2024-9104 is taking much longer than expected. Can you expedite this?",review_delay,medium,MS-2024-9104,"We understand your concern regarding MS-2024-9104. The delay was due to the holiday season affecting reviewer availability. We have sent reminders to both reviewers and set a deadline of November 20, 2024. If we don't receive reviews by then, we will assign new reviewers.","['holiday_delay', 'reminder_sent']",2024-09-20,2.5
CASE_0010,"I received a 'revise and resubmit' decision for MS-2024-1005. How long do I have to submit revisions?",decision_timeline,low,MS-2024-1005,"Congratulations on the revise and resubmit decision for MS-2024-1005. You have 60 days from the decision date (October 15, 2024) to submit your revised manuscript. If you need an extension, please contact us at least one week before the deadline.","['revision_deadline', 'major_revision']",2024-08-05,1.0
